generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
RootPopulationSizeScaler7	6638	6228	1	0.0285714	0.281346	
LeafPopulationSizeScaler7	7137	5664	1	0.0285714	0.633086	
generation 55000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	15806	0	10	0.285714	none	
TimeSizeRateMixer	23157	23387	5	0.142857	0.224961	
TimeRootSizeMixer	13292	14228	3	0.0857143	0.228382	
EventTimeScaler	90804	86192	1	0.0285714	0.558961	
RootPopulationSizeScaler0	6664	7429	1	0.0285714	0.223815	
LeafPopulationSizeScaler0	7396	6659	1	0.0285714	0.272029	
RootPopulationSizeScaler1	6783	7322	1	0.0285714	0.291905	
LeafPopulationSizeScaler1	6799	7358	1	0.0285714	0.350993	
RootPopulationSizeScaler2	7133	6993	1	0.0285714	0.307352	
LeafPopulationSizeScaler2	7990	6154	1	0.0285714	0.647984	
RootPopulationSizeScaler3	7047	7078	1	0.0285714	0.313155	
LeafPopulationSizeScaler3	9326	4786	1	0.0285714	0.56629	
RootPopulationSizeScaler4	7222	6925	1	0.0285714	0.309753	
LeafPopulationSizeScaler4	8941	5219	1	0.0285714	1.19428	
RootPopulationSizeScaler5	6922	7204	1	0.0285714	0.317958	
LeafPopulationSizeScaler5	7632	6526	1	0.0285714	0.536501	
RootPopulationSizeScaler6	6960	7163	1	0.0285714	0.313469	
LeafPopulationSizeScaler6	8840	5225	1	0.0285714	0.996643	
RootPopulationSizeScaler7	7322	6880	1	0.0285714	0.283105	
LeafPopulationSizeScaler7	7827	6289	1	0.0285714	0.638513	
generation 60000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	17225	0	10	0.285714	none	
TimeSizeRateMixer	25158	25585	5	0.142857	0.225608	
TimeRootSizeMixer	14417	15548	3	0.0857143	0.228741	
EventTimeScaler	98519	94205	1	0.0285714	0.561334	
RootPopulationSizeScaler0	7238	8133	1	0.0285714	0.224113	
LeafPopulationSizeScaler0	8029	7316	1	0.0285714	0.273127	
RootPopulationSizeScaler1	7374	8020	1	0.0285714	0.292448	
LeafPopulationSizeScaler1	7402	8048	1	0.0285714	0.351443	
RootPopulationSizeScaler2	7798	7632	1	0.0285714	0.308839	
LeafPopulationSizeScaler2	8656	6766	1	0.0285714	0.651885	
RootPopulationSizeScaler3	7681	7715	1	0.0285714	0.314191	
LeafPopulationSizeScaler3	10127	5287	1	0.0285714	0.574639	
RootPopulationSizeScaler4	7813	7618	1	0.0285714	0.31053	
LeafPopulationSizeScaler4	9701	5759	1	0.0285714	1.20871	
RootPopulationSizeScaler5	7526	7907	1	0.0285714	0.318348	
LeafPopulationSizeScaler5	8249	7190	1	0.0285714	0.538957	
RootPopulationSizeScaler6	7552	7862	1	0.0285714	0.314464	
LeafPopulationSizeScaler6	9574	5774	1	0.0285714	1.00707	
RootPopulationSizeScaler7	7952	7542	1	0.0285714	0.284378	
LeafPopulationSizeScaler7	8492	6913	1	0.0285714	0.642944	
generation 65000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	18599	0	10	0.285714	none	
TimeSizeRateMixer	27087	27697	5	0.142857	0.226316	
TimeRootSizeMixer	15740	17006	3	0.0857143	0.229376	
EventTimeScaler	106226	102333	1	0.0285714	0.563533	
RootPopulationSizeScaler0	7812	8859	1	0.0285714	0.224355	
LeafPopulationSizeScaler0	8628	8021	1	0.0285714	0.273717	
RootPopulationSizeScaler1	7990	8688	1	0.0285714	0.293264	
LeafPopulationSizeScaler1	8028	8727	1	0.0285714	0.352628	
RootPopulationSizeScaler2	8410	8309	1	0.0285714	0.30957	
LeafPopulationSizeScaler2	9346	7384	1	0.0285714	0.656848	
RootPopulationSizeScaler3	8308	8391	1	0.0285714	0.315065	
LeafPopulationSizeScaler3	10887	5844	1	0.0285714	0.580858	
RootPopulationSizeScaler4	8394	8351	1	0.0285714	0.31088	
LeafPopulationSizeScaler4	10466	6294	1	0.0285714	1.22198	
