generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
TimeSizeRateMixer	30972	30213	5	0.16129	0.244166	
TimeRootSizeMixer	17401	19942	3	0.0967742	0.277561	
EventTimeScaler	117749	114728	1	0.0322581	0.596007	
RootPopulationSizeScaler0	10497	11524	1	0.0322581	0.328388	
LeafPopulationSizeScaler0	12523	9515	1	0.0322581	1.02567	
RootPopulationSizeScaler1	10097	11852	1	0.0322581	0.278089	
LeafPopulationSizeScaler1	10274	11722	1	0.0322581	0.337405	
RootPopulationSizeScaler2	10431	11492	1	0.0322581	0.321153	
LeafPopulationSizeScaler2	13155	8871	1	0.0322581	0.782827	
RootPopulationSizeScaler3	10510	11476	1	0.0322581	0.321132	
LeafPopulationSizeScaler3	12954	9019	1	0.0322581	1.18021	
RootPopulationSizeScaler4	10584	11448	1	0.0322581	0.320583	
LeafPopulationSizeScaler4	12206	9823	1	0.0322581	0.627249	
RootPopulationSizeScaler5	10710	11289	1	0.0322581	0.312317	
LeafPopulationSizeScaler5	12626	9265	1	0.0322581	0.919832	
