generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_W1	ln_likelihood_W1	ln_prior_W1	root_height_W1	mutation_rate_W1	freq_1_W1	pop_size_W1	pop_size_E1	pop_size_root_W1	root_height_index_E3	ln_likelihood_E3	ln_prior_E3	root_height_E3	mutation_rate_E3	freq_1_E3	pop_size_E3	pop_size_W3	pop_size_root_E3	root_height_index_W5	ln_likelihood_W5	ln_prior_W5	root_height_W5	mutation_rate_W5	freq_1_W5	pop_size_W5	pop_size_E5	pop_size_root_W5
2100	-6378.44103274821009	24.7592145883348493	2	7.5	0	-1407.06643099812732	11.7470470215729286	0.0539241714174784198	1	0.5	0.00164494567831062737	0.00322258572815322481	0.00237723322423388349	1	-3841.74899712808747	2.42559985028350411	0.0097636767485373907	1	0.5	0.0140061134602026491	0.00502538729866532606	0.0118996729621105579	1	-1129.62560462199508	10.1214671026643153	0.0097636767485373907	1	0.5	0.00409417419497501607	0.000880343354478479458	0.00268151627512958242
2150	-6373.28919765333285	26.8838671369838771	3	7.5	0	-1406.09256026542653	11.5475432995238876	0.0514915386154029542	1	0.5	0.0024536597504931602	0.00428613885153733293	0.00364171075007462723	1	-3840.66300150306188	0.238542882897132102	0.0101821327900148591	1	0.5	0.0142556116726608416	0.00576235044118212584	0.0132395251087112868	2	-1126.53363588484444	8.97920478645701081	0.0116801532829840758	1	0.5	0.00498634647373134236	0.000613049025815036799	0.00302619082987601491
2200	-6378.46700148249784	29.4684888899197226	3	7.5	0	-1406.16076466034019	12.0079954672347675	0.0579694376984471113	1	0.5	0.00214616082347256296	0.00353464758499238583	0.00285195609416733073	1	-3842.66816042489108	1.95775299275598158	0.00951374076300920239	1	0.5	0.016409761727365621	0.00457758302297775477	0.0123908471462023627	2	-1129.63807639726656	10.4726938180413782	0.0167559417891281308	1	0.5	0.00303587176252140181	0.000866154092551621913	0.00203813008945036636
2250	-6377.39824056050566	31.4470981801340805	3	7.5	0	-1406.68814007448918	11.9796989093458066	0.0522405372537434048	1	0.5	0.00284026302901521513	0.00432230563722830335	0.00355794176606004982	1	-3842.13986235905168	2.90147979140155954	0.00727266084628248877	1	0.5	0.0133177427537214278	0.00464013386815840308	0.0113164065678505957	2	-1128.57023812696502	10.2951466092652346	0.0123186595682196684	1	0.5	0.00343272649439227895	0.000799254830673465887	0.00219990864801552317
2300	-6374.5161534259887	26.0377219896080128	3	7.5	0	-1409.04365983194134	10.7712935601801725	0.0486184099322216137	1	0.5	0.00344228479555716256	0.00484334984775941935	0.004713590225084348	1	-3839.17548289837487	-0.57512179996537327	0.00736956972382810539	1	0.5	0.0138549792789960345	0.00378778132575335229	0.0122707571966295653	2	-1126.29701069567272	9.4352093205090064	0.0144881976245685752	1	0.5	0.00389748934176642687	0.000572967495935580869	0.00232565975281974783
2350	-6376.71225081135526	28.3088121373504435	3	7.5	0	-1408.11517907820962	11.501198498110746	0.0545201967758053088	1	0.5	0.00292043842131390697	0.00541268242374508268	0.0039750621498846157	1	-3841.50419428778332	2.42910685655369463	0.00793629966365076885	1	0.5	0.0146940227440298561	0.00495000172888205442	0.012028534196324223	2	-1127.09287744536277	8.33043346160633646	0.011602356719207587	1	0.5	0.0050785585957895318	0.000583648810431237398	0.00244417486672702036
2400	-6373.10623151910931	23.7692349079597491	3	7.5	0	-1407.11205075066368	11.3695687042443225	0.05582441743302375	1	0.5	0.00276289208716688035	0.00512015445146057208	0.00422202940269364793	1	-3838.47082876316199	-3.50895384590088	0.00726598782300346812	1	0.5	0.0169224357143386676	0.00397268172877513967	0.0146846813902106049	2	-1127.52335200528319	10.0965414812054561	0.013328395429324626	1	0.5	0.00375411062359056868	0.000725260541193008517	0.00214840301170100226
2450	-6380.21183865899638	32.4935388646714571	3	7.5	0	-1407.14256944470935	12.0474064128854437	0.047571599742911079	1	0.5	0.00255966204262659614	0.00394518384054053789	0.0032513144151500523	1	-3844.70112439128798	3.59209437861214909	0.00649827853575957789	1	0.5	0.0148491124884799312	0.0038426114102430636	0.0109386847797645504	2	-1128.36814482299906	10.2170597174939068	0.0140999245339901002	1	0.5	0.00326151524376661799	0.000778091997182808835	0.00211434281889591891
2500	-6372.99972724766303	23.5219271902144662	3	7.5	0	-1406.10591692939784	9.90209580442893156	0.0535524145945145899	1	0.5	0.00215799754995887622	0.00487986411822964594	0.0041789243906500996	1	-3838.64753632130396	-0.812990883184426139	0.00874185004986976523	1	0.5	0.0141287729958796317	0.00456951371629400228	0.0129409143911229218	2	-1128.24627399696192	9.44605892829909166	0.0223776883183673392	1	0.5	0.00501457135258815464	0.000649280765188832887	0.00289481915312100446
2550	-6374.23400621021483	28.8364345943917257	3	7.5	0	-1406.40864309195626	11.6894709220952535	0.049901349410036773	1	0.5	0.00229049450734432813	0.00389456089581362037	0.00282553939699768013	1	-3841.93478595370061	2.12434525303410737	0.00780519559370657177	1	0.5	0.0126110681918463041	0.00405364471958123002	0.0110364662403844311	2	-1125.89057716455773	8.79896049152273108	0.0145964620883207025	1	0.5	0.00388807478809227117	0.000438452448897615351	0.00223660622686727359
