generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
RootPopulationSizeScaler2	10893	10736	1	0.0344828	0.284005	
LeafPopulationSizeScaler2	11294	10436	1	0.0344828	0.554225	
RootPopulationSizeScaler3	10356	11311	1	0.0344828	0.328508	
LeafPopulationSizeScaler3	13644	8148	1	0.0344828	0.89881	
RootPopulationSizeScaler4	10629	11110	1	0.0344828	0.28423	
LeafPopulationSizeScaler4	10887	10846	1	0.0344828	0.498675	
generation 75000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	25890	0	10	0.344828	none	
TimeSizeRateMixer	29324	31147	5	0.172414	0.255309	
TimeRootSizeMixer	17046	20305	3	0.103448	0.276443	
EventTimeScaler	114756	117238	1	0.0344828	0.517968	
RootPopulationSizeScaler0	11048	12276	1	0.0344828	0.324667	
LeafPopulationSizeScaler0	11880	11337	1	0.0344828	0.635935	
RootPopulationSizeScaler1	11415	11943	1	0.0344828	0.312201	
LeafPopulationSizeScaler1	12663	10599	1	0.0344828	0.850838	
RootPopulationSizeScaler2	11629	11561	1	0.0344828	0.284868	
LeafPopulationSizeScaler2	12089	11229	1	0.0344828	0.556807	
RootPopulationSizeScaler3	11056	12176	1	0.0344828	0.328833	
LeafPopulationSizeScaler3	14542	8829	1	0.0344828	0.906917	
RootPopulationSizeScaler4	11348	11972	1	0.0344828	0.284461	
LeafPopulationSizeScaler4	11658	11656	1	0.0344828	0.499875	
