generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_W1	ln_likelihood_W1	ln_prior_W1	root_height_W1	mutation_rate_W1	freq_1_W1	pop_size_W1	pop_size_E1	pop_size_root_W1	root_height_index_W2	ln_likelihood_W2	ln_prior_W2	root_height_W2	mutation_rate_W2	freq_1_W2	pop_size_W2	pop_size_E2	pop_size_root_W2	root_height_index_E3	ln_likelihood_E3	ln_prior_E3	root_height_E3	mutation_rate_E3	freq_1_E3	pop_size_E3	pop_size_W3	pop_size_root_E3	root_height_index_E4	ln_likelihood_E4	ln_prior_E4	root_height_E4	mutation_rate_E4	freq_1_E4	pop_size_E4	pop_size_W4	pop_size_root_E4	root_height_index_W6	ln_likelihood_W6	ln_prior_W6	root_height_W6	mutation_rate_W6	freq_1_W6	pop_size_W6	pop_size_E6	pop_size_root_W6
500	-6774.3810059715297	49.0035802440964474	4	7.5	0	-1152.18911979863697	11.4962011277496856	0.0641040928453308761	1	0.5	0.00264547765766654126	0.00315471977069042842	0.00322319305431589516	1	-1238.18413327885355	9.38815632084394025	0.00183930427839928208	1	0.5	0.00311103397644376528	0.00051244454603171423	0.00181558753872438066	1	-2221.10269935848282	7.98755229870978312	0.00183930427839928208	1	0.5	0.00813843383860772714	0.000750355307913386379	0.00414591289736085909	2	-850.145644421604402	7.99426059119207721	0.0326809551294779399	1	0.5	0.000501625302127196534	0.000974062782863297015	0.00073425683487454371	3	-1312.75940911395151	7.57852627593245387	0.00858990695954397337	1	0.5	0.00417675531959207143	0.00518362773278514995	0.00605957061736003659
550	-6778.00101860176164	59.2323793559200666	5	7.5	0	-1151.76376130918652	11.9626444743936808	0.070479113873103294	1	0.5	0.0020226497742826797	0.00339188177383402617	0.00262664578956864564	1	-1237.26755028298248	8.43516220602751332	0.00116302863383677449	1	0.5	0.00322139793117018867	0.000385013074919899354	0.00190804281594316718	2	-2221.30963447403064	8.69186225826350167	0.0019732290713136702	1	0.5	0.00832841941880727542	0.00102815009112271248	0.0047089650423027948	3	-852.433583985889641	9.42227417228876618	0.0398335275166077848	1	0.5	0.0007504855651681426	0.00160598922913687586	0.00106457031663451454	4	-1315.22648854967269	10.8118369400543983	0.0064689354309569562	1	0.5	0.00344882493827818005	0.0056760036090131331	0.00503515176814863397
600	-6778.56546910489487	54.3766447298482447	5	7.5	0	-1152.28107693129368	10.7176321289549783	0.0627637576454060653	1	0.5	0.00218133981169293641	0.0033393326311701387	0.0032070917336709929	1	-1238.27392216694716	9.96973593232200628	0.00195444126352681833	1	0.5	0.00242650819545747829	0.000713693101850084626	0.00164368893535399448	2	-2221.66092318030496	5.59523629667479838	0.00287897879937860533	1	0.5	0.0127363575002936835	0.00106375281751384574	0.00663108258754598317	3	-849.690936340020585	7.25096218144689075	0.0386813783463367394	1	0.5	0.000365776706725574766	0.0013037500981184539	0.000747854030816559969	4	-1316.65861048632837	10.3944226157917399	0.00823871577351406766	1	0.5	0.00325248936411387567	0.00736967374591128606	0.00498950152262695509
650	-6775.90060001995425	48.2393969352756287	4	7.5	0	-1152.53836259289778	11.6568798334626322	0.0621631285486394028	1	0.5	0.00225436530519630045	0.00279938948949993863	0.00227411673242009209	1	-1238.48808933643295	8.42203424725691363	0.00152863024492093011	1	0.5	0.00112286056673623785	0.000921693553871319048	0.00118195427338318158	1	-2220.71596221185382	6.34846975570663474	0.00152863024492093011	1	0.5	0.0108323679239403243	0.000766707261527412292	0.00586603754878576959	2	-849.699325246869648	7.67563629150751936	0.0348674933290948064	1	0.5	0.00056790322351164043	0.000899185033700962747	0.000798554150806066458	3	-1314.45886063190051	9.5961322545009331	0.00884139785837193166	1	0.5	0.0048988210149602052	0.00582645396230242404	0.0062356261996465677
700	-6783.92409645878615	55.7985069828843834	5	7.5	0	-1155.61246455653895	11.8329313648967442	0.0530816745649562508	1	0.5	0.00195162933818289605	0.00238175547909942522	0.00206940087215305235	1	-1238.37834882949642	8.35410086066067237	0.00233529891980223782	1	0.5	0.000757435857499741882	0.000737653694025627664	0.000723779764520750659	2	-2221.36635305751452	6.19805848473911425	0.00243514757977631889	1	0.5	0.00692860277038859652	0.000831946565547564366	0.00485079507041353847	3	-852.594378780434113	6.88055957896067127	0.0315587211594345191	1	0.5	0.00086575978636766371	0.000437591007325878326	0.000713837041698351521	4	-1315.97255123480249	10.3632469104488933	0.00789688751898846159	1	0.5	0.00377241114501119341	0.00751764301854644483	0.00555868114418837673
750	-6775.42510198291984	54.5204025546322768	5	7.5	0	-1152.83204815266367	11.2011342374970511	0.0726875769249503978	1	0.5	0.00185138017825090635	0.00222966386542567058	0.0022489597912486504	1	-1239.06618783331442	9.15277408656691094	0.00217661376218177905	1	0.5	0.00103220772575173306	0.00102656222214586178	0.000912543948990322666	2	-2219.93332298517271	8.37226956528991906	0.00301530501356865989	1	0.5	0.00915505739499185983	0.00115914157980956628	0.00520703671885092405	3	-850.306574979432185	8.38861263069490448	0.0368703611149857058	1	0.5	0.000801106135838292217	0.000799830542542352913	0.000855216213698161603	4	-1313.28696803233652	7.84795697968132799	0.00867742021003247745	1	0.5	0.00399649002401488221	0.0073854178310728269	0.00700979430011180061
800	-6787.93947190708241	56.6764816523248598	4	7.5	0	-1152.42794495221733	11.3065469208226475	0.0664438138701036324	1	0.5	0.00181778094776777438	0.00358056354549014669	0.00295951148793425914	1	-1239.35958137796752	10.1004551194952406	0.00147051312834572978	1	0.5	0.00275430919907446821	0.000769781953961257734	0.00162341326169163861	2	-2225.75612494888674	9.75255107120188924	0.0066994468952223064	1	0.5	0.00811235157139321428	0.00195593913899212496	0.00520146580565827247	3	-853.174590932420529	9.39001763676093404	0.029832024585746901	1	0.5	0.00093225460432907201	0.000988496232437677345	0.000985340798868262037	2	-1317.22122969559018	11.2911812010422956	0.0066994468952223064	1	0.5	0.0043850055334312063	0.00511023878301452086	0.00497392993899730199
850	-6778.86123341471739	57.3493328079608773	5	7.5	0	-1151.98042806282251	11.621630083383149	0.0747260756280559019	1	0.5	0.00210448118589734532	0.00371270942614218341	0.00312792267741082361	1	-1238.93379143762968	9.86556164684700576	0.00106539894366606538	1	0.5	0.00203449971992752899	0.000684328634100690465	0.00137821616755075607	2	-2221.28530123439759	7.69838795649916818	0.00324586920287777596	1	0.5	0.00824855827007956767	0.000671133539827001215	0.00418825665462764767	3	-850.79630010906601	8.70030154906170239	0.042489193890748303	1	0.5	0.000922655832662601285	0.000774525935266617599	0.000786030365500174134	4	-1315.86541257080148	10.4640427153557809	0.00748320134125189055	1	0.5	0.00469028308273568631	0.00589556970286455803	0.00580052355742132451
900	-6780.58452501293687	52.6801863758168878	4	7.5	0	-1153.73587645274461	11.465779318497912	0.0619358186430402219	1	0.5	0.00153795339207191475	0.00358233602921534302	0.00267815139345119278	1	-1237.47362079235427	9.44711011186335625	0.00175476287031812246	1	0.5	0.0014021670448830393	0.000701045809782739312	0.00106107475523231176	1	-2222.99199967402683	9.10647671849926255	0.00175476287031812246	1	0.5	0.00740787866884883277	0.000963913989451863919	0.00426133387825035088	2	-850.699306048276185	9.29621623488216997	0.041769714578776776	1	0.5	0.000845763536611439663	0.00101272121346913609	0.000922868485990574255	3	-1315.68372204553475	9.42789701878526643	0.00797572968441281373	1	0.5	0.00489554213093572159	0.00401916114853863218	0.00541328807158371426
950	-6782.21904617755263	60.079349236531371	5	7.5	0	-1152.1939877647867	12.1930326402998404	0.081681777613355086	1	0.5	0.00284252328746707186	0.00304491211294340841	0.00286581110621461068	1	-1239.14991280970867	10.4088916762400387	0.00162039134340943142	1	0.5	0.00204394734872684423	0.000860937904249089872	0.00143003114105592563	2	-2220.24989292128657	8.70551442919762053	0.00325927330097207108	1	0.5	0.00820047760428303969	0.000990488926514377895	0.00460480288235674221	3	-854.979952947108814	9.74305996914041117	0.0324278801154115684	1	0.5	0.00153947535455988319	0.000827816114382524384	0.00109260171461744455	4	-1315.64529973466142	9.82666774345594263	0.00799267741961734793	1	0.5	0.00467564115106779837	0.00409128536506501127	0.00524113732114904994
