generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
LeafPopulationSizeScaler13	4288	2419	1	0.0212766	0.688398	
generation 40000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	8500	0	10	0.212766	none	
TimeSizeRateMixer	16583	15279	5	0.106383	0.195341	
TimeRootSizeMixer	9067	9874	3	0.0638298	0.173067	
EventTimeScaler	63600	57699	1	0.0212766	0.452192	
RootPopulationSizeScaler0	3729	3841	1	0.0212766	0.322636	
LeafPopulationSizeScaler0	5018	2566	1	0.0212766	1.18576	
RootPopulationSizeScaler1	4035	3538	1	0.0212766	0.293533	
LeafPopulationSizeScaler1	4465	3129	1	0.0212766	0.561809	
RootPopulationSizeScaler2	3830	3793	1	0.0212766	0.268716	
LeafPopulationSizeScaler2	4054	3543	1	0.0212766	0.458742	
RootPopulationSizeScaler3	3709	3926	1	0.0212766	0.313665	
LeafPopulationSizeScaler3	4307	3241	1	0.0212766	0.416641	
RootPopulationSizeScaler4	3940	3673	1	0.0212766	0.259985	
LeafPopulationSizeScaler4	4238	3328	1	0.0212766	0.44391	
RootPopulationSizeScaler5	4118	3446	1	0.0212766	0.290641	
LeafPopulationSizeScaler5	4597	2984	1	0.0212766	0.510578	
RootPopulationSizeScaler6	3745	3858	1	0.0212766	0.300526	
LeafPopulationSizeScaler6	4664	2893	1	0.0212766	0.432118	
RootPopulationSizeScaler7	3637	3970	1	0.0212766	0.298796	
LeafPopulationSizeScaler7	4403	3145	1	0.0212766	0.474987	
RootPopulationSizeScaler8	3734	3855	1	0.0212766	0.284387	
LeafPopulationSizeScaler8	4355	3183	1	0.0212766	0.554552	
RootPopulationSizeScaler9	4014	3580	1	0.0212766	0.289345	
LeafPopulationSizeScaler9	4928	2683	1	0.0212766	0.870473	
RootPopulationSizeScaler10	3872	3749	1	0.0212766	0.303199	
LeafPopulationSizeScaler10	5687	1859	1	0.0212766	0.621782	
RootPopulationSizeScaler11	3802	3833	1	0.0212766	0.307956	
LeafPopulationSizeScaler11	4518	3054	1	0.0212766	0.715298	
RootPopulationSizeScaler12	3696	3853	1	0.0212766	0.31442	
LeafPopulationSizeScaler12	4568	3020	1	0.0212766	0.615246	
RootPopulationSizeScaler13	3791	3809	1	0.0212766	0.302485	
LeafPopulationSizeScaler13	4801	2826	1	0.0212766	0.698607	
generation 45000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	9540	0	10	0.212766	none	
TimeSizeRateMixer	18742	17410	5	0.106383	0.196917	
TimeRootSizeMixer	10316	11326	3	0.0638298	0.173893	
EventTimeScaler	71740	65537	1	0.0212766	0.455962	
RootPopulationSizeScaler0	4222	4348	1	0.0212766	0.323941	
LeafPopulationSizeScaler0	5606	2985	1	0.0212766	1.20707	
RootPopulationSizeScaler1	4541	4035	1	0.0212766	0.29557	
LeafPopulationSizeScaler1	5004	3611	1	0.0212766	0.568333	
RootPopulationSizeScaler2	4306	4309	1	0.0212766	0.270202	
LeafPopulationSizeScaler2	4570	4041	1	0.0212766	0.462714	
RootPopulationSizeScaler3	4211	4443	1	0.0212766	0.315099	
LeafPopulationSizeScaler3	4856	3709	1	0.0212766	0.421248	
RootPopulationSizeScaler4	4428	4198	1	0.0212766	0.261613	
LeafPopulationSizeScaler4	4761	3805	1	0.0212766	0.448868	
RootPopulationSizeScaler5	4610	3952	1	0.0212766	0.29242	
LeafPopulationSizeScaler5	5143	3447	1	0.0212766	0.516923	
RootPopulationSizeScaler6	4212	4395	1	0.0212766	0.301291	
LeafPopulationSizeScaler6	5270	3297	1	0.0212766	0.440713	
RootPopulationSizeScaler7	4085	4528	1	0.0212766	0.299545	
LeafPopulationSizeScaler7	4933	3621	1	0.0212766	0.480331	
RootPopulationSizeScaler8	4210	4380	1	0.0212766	0.285728	
LeafPopulationSizeScaler8	4880	3647	1	0.0212766	0.561474	
RootPopulationSizeScaler9	4520	4074	1	0.0212766	0.291626	
LeafPopulationSizeScaler9	5523	3102	1	0.0212766	0.883866	
RootPopulationSizeScaler10	4377	4259	1	0.0212766	0.305093	
LeafPopulationSizeScaler10	6360	2184	1	0.0212766	0.640134	
RootPopulationSizeScaler11	4267	4350	1	0.0212766	0.309258	
LeafPopulationSizeScaler11	5097	3486	1	0.0212766	0.727467	
RootPopulationSizeScaler12	4186	4380	1	0.0212766	0.316118	
LeafPopulationSizeScaler12	5131	3471	1	0.0212766	0.624845	
RootPopulationSizeScaler13	4259	4340	1	0.0212766	0.303435	
LeafPopulationSizeScaler13	5359	3270	1	0.0212766	0.709653	
generation 50000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	10594	0	10	0.212766	none	
TimeSizeRateMixer	20692	19407	5	0.106383	0.197972	
TimeRootSizeMixer	11480	12652	3	0.0638298	0.174583	
EventTimeScaler	79059	73164	1	0.0212766	0.458416	
RootPopulationSizeScaler0	4671	4869	1	0.0212766	0.324645	
LeafPopulationSizeScaler0	6173	3391	1	0.0212766	1.22604	
RootPopulationSizeScaler1	5053	4500	1	0.0212766	0.29789	
LeafPopulationSizeScaler1	5539	4059	1	0.0212766	0.574432	
RootPopulationSizeScaler2	4761	4812	1	0.0212766	0.271451	
LeafPopulationSizeScaler2	5038	4540	1	0.0212766	0.464468	
RootPopulationSizeScaler3	4667	4948	1	0.0212766	0.316675	
LeafPopulationSizeScaler3	5345	4188	1	0.0212766	0.424472	
RootPopulationSizeScaler4	4909	4697	1	0.0212766	0.263021	
LeafPopulationSizeScaler4	5271	4270	1	0.0212766	0.452829	
RootPopulationSizeScaler5	5084	4467	1	0.0212766	0.294357	
LeafPopulationSizeScaler5	5684	3893	1	0.0212766	0.523315	
RootPopulationSizeScaler6	4649	4941	1	0.0212766	0.301422	
LeafPopulationSizeScaler6	5840	3695	1	0.0212766	0.447678	
RootPopulationSizeScaler7	4504	5070	1	0.0212766	0.300139	
LeafPopulationSizeScaler7	5450	4048	1	0.0212766	0.485613	
RootPopulationSizeScaler8	4687	4876	1	0.0212766	0.286957	
LeafPopulationSizeScaler8	5364	4131	1	0.0212766	0.56601	
RootPopulationSizeScaler9	5016	4546	1	0.0212766	0.293931	
LeafPopulationSizeScaler9	6061	3531	1	0.0212766	0.894947	
RootPopulationSizeScaler10	4880	4721	1	0.0212766	0.307348	
LeafPopulationSizeScaler10	7014	2500	1	0.0212766	0.656002	
RootPopulationSizeScaler11	4716	4855	1	0.0212766	0.310189	
LeafPopulationSizeScaler11	5647	3903	1	0.0212766	0.734926	
RootPopulationSizeScaler12	4647	4879	1	0.0212766	0.317225	
LeafPopulationSizeScaler12	5658	3925	1	0.0212766	0.63177	
RootPopulationSizeScaler13	4702	4856	1	0.0212766	0.304453	
LeafPopulationSizeScaler13	5894	3693	1	0.0212766	0.718885	
generation 55000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	11638	0	10	0.212766	none	
TimeSizeRateMixer	22615	21532	5	0.106383	0.198808	
TimeRootSizeMixer	12532	13774	3	0.0638298	0.175158	
EventTimeScaler	86314	80794	1	0.0212766	0.460396	
RootPopulationSizeScaler0	5116	5362	1	0.0212766	0.325728	
LeafPopulationSizeScaler0	6745	3760	1	0.0212766	1.2446	
RootPopulationSizeScaler1	5527	4988	1	0.0212766	0.299245	
LeafPopulationSizeScaler1	6063	4475	1	0.0212766	0.579967	
