generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
RootPopulationSizeScaler5	8077	7956	1	0.0322581	0.308463	
LeafPopulationSizeScaler5	9289	6748	1	0.0322581	0.310883	
generation 60000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	19449	0	10	0.322581	none	
TimeSizeRateMixer	28103	21995	5	0.16129	0.196666	
TimeRootSizeMixer	14847	15719	3	0.0967742	0.193303	
EventTimeScaler	100767	91256	1	0.0322581	0.58653	
RootPopulationSizeScaler0	8300	9159	1	0.0322581	0.315819	
LeafPopulationSizeScaler0	10013	7384	1	0.0322581	1.17395	
RootPopulationSizeScaler1	8993	8458	1	0.0322581	0.290967	
LeafPopulationSizeScaler1	9118	8324	1	0.0322581	0.711013	
RootPopulationSizeScaler2	8196	9279	1	0.0322581	0.24399	
LeafPopulationSizeScaler2	8413	9064	1	0.0322581	0.275135	
RootPopulationSizeScaler3	7484	9943	1	0.0322581	0.175256	
LeafPopulationSizeScaler3	9051	8329	1	0.0322581	0.257482	
RootPopulationSizeScaler4	8738	8688	1	0.0322581	0.312701	
LeafPopulationSizeScaler4	11138	6262	1	0.0322581	1.19257	
RootPopulationSizeScaler5	8737	8740	1	0.0322581	0.309055	
LeafPopulationSizeScaler5	10059	7403	1	0.0322581	0.313497	
generation 65000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	21087	0	10	0.322581	none	
TimeSizeRateMixer	30247	23975	5	0.16129	0.197986	
TimeRootSizeMixer	15980	17081	3	0.0967742	0.193529	
EventTimeScaler	108814	99148	1	0.0322581	0.589513	
RootPopulationSizeScaler0	8947	9954	1	0.0322581	0.316213	
LeafPopulationSizeScaler0	10780	8053	1	0.0322581	1.18362	
RootPopulationSizeScaler1	9701	9193	1	0.0322581	0.292131	
LeafPopulationSizeScaler1	9859	9023	1	0.0322581	0.714561	
RootPopulationSizeScaler2	8869	10063	1	0.0322581	0.244344	
LeafPopulationSizeScaler2	9074	9855	1	0.0322581	0.275717	
RootPopulationSizeScaler3	8166	10708	1	0.0322581	0.175505	
LeafPopulationSizeScaler3	9793	9041	1	0.0322581	0.258797	
RootPopulationSizeScaler4	9417	9453	1	0.0322581	0.31339	
LeafPopulationSizeScaler4	11964	6896	1	0.0322581	1.20517	
RootPopulationSizeScaler5	9416	9518	1	0.0322581	0.309741	
LeafPopulationSizeScaler5	10829	8096	1	0.0322581	0.315668	
generation 70000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	22711	0	10	0.322581	none	
TimeSizeRateMixer	32440	26075	5	0.16129	0.199078	
TimeRootSizeMixer	17124	18414	3	0.0967742	0.19394	
EventTimeScaler	116919	107130	1	0.0322581	0.592236	
RootPopulationSizeScaler0	9620	10739	1	0.0322581	0.316867	
LeafPopulationSizeScaler0	11513	8779	1	0.0322581	1.19029	
RootPopulationSizeScaler1	10384	9989	1	0.0322581	0.292867	
LeafPopulationSizeScaler1	10597	9747	1	0.0322581	0.717502	
RootPopulationSizeScaler2	9553	10823	1	0.0322581	0.244968	
LeafPopulationSizeScaler2	9705	10674	1	0.0322581	0.275858	
RootPopulationSizeScaler3	8761	11569	1	0.0322581	0.175193	
LeafPopulationSizeScaler3	10521	9788	1	0.0322581	0.259735	
RootPopulationSizeScaler4	10118	10229	1	0.0322581	0.314127	
LeafPopulationSizeScaler4	12775	7560	1	0.0322581	1.21657	
RootPopulationSizeScaler5	10081	10319	1	0.0322581	0.310077	
LeafPopulationSizeScaler5	11592	8794	1	0.0322581	0.318068	
generation 75000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	24322	0	10	0.322581	none	
TimeSizeRateMixer	34655	28159	5	0.16129	0.200129	
TimeRootSizeMixer	18308	19637	3	0.0967742	0.19448	
EventTimeScaler	125044	114965	1	0.0322581	0.59505	
RootPopulationSizeScaler0	10314	11491	1	0.0322581	0.317871	
LeafPopulationSizeScaler0	12278	9458	1	0.0322581	1.19779	
RootPopulationSizeScaler1	11097	10727	1	0.0322581	0.294102	
LeafPopulationSizeScaler1	11348	10431	1	0.0322581	0.72136	
RootPopulationSizeScaler2	10234	11573	1	0.0322581	0.245339	
LeafPopulationSizeScaler2	10355	11466	1	0.0322581	0.276025	
RootPopulationSizeScaler3	9348	12403	1	0.0322581	0.175036	
LeafPopulationSizeScaler3	11221	10546	1	0.0322581	0.260453	
RootPopulationSizeScaler4	10786	10996	1	0.0322581	0.314817	
LeafPopulationSizeScaler4	13575	8208	1	0.0322581	1.2256	
RootPopulationSizeScaler5	10753	11083	1	0.0322581	0.31074	
LeafPopulationSizeScaler5	12401	9446	1	0.0322581	0.32019	
